dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	background	batch	cell_type	genotype	sex	treatment
GSE163857	GSM4988829	SRR13306443	SRX9734445	Homo sapiens	single	EDi028-A_CTL_human_E3/E3_Healthy_iMicroglia	human_E3/E3_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR013/13306/SRR13306443/SRR13306443.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 2"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E3"", ""sex"": ""Male"", ""treatment"": ""CTL""}"	Healthy Control	Batch 2	iPSC-derived microglia	E3/E3	Male	CTL
GSE163857	GSM4988830	SRR13306444	SRX9734446	Homo sapiens	single	EDi034-A_CTL_human_E3/E3_Healthy_iMicroglia	human_E3/E3_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR013/13306/SRR13306444/SRR13306444.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 2"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E3"", ""sex"": ""Female"", ""treatment"": ""CTL""}"	Healthy Control	Batch 2	iPSC-derived microglia	E3/E3	Female	CTL
GSE163857	GSM4988831	SRR13306445	SRX9734447	Homo sapiens	single	EDi022-A_CTL_human_E3/E4_Healthy_iMicroglia	human_E3/E4_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR013/13306/SRR13306445/SRR13306445.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 2"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E4"", ""sex"": ""Male"", ""treatment"": ""CTL""}"	Healthy Control	Batch 2	iPSC-derived microglia	E3/E4	Male	CTL
GSE163857	GSM4988832	SRR13306446	SRX9734448	Homo sapiens	single	EDi042-A_CTL_human_E3/E4_Healthy_iMicroglia	human_E3/E4_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR013/13306/SRR13306446/SRR13306446.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 2"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E4"", ""sex"": ""Female"", ""treatment"": ""CTL""}"	Healthy Control	Batch 2	iPSC-derived microglia	E3/E4	Female	CTL
GSE163857	GSM4988833	SRR13306447	SRX9734449	Homo sapiens	single	EDi044-A_CTL_human_E3/E4_Healthy_iMicroglia	human_E3/E4_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR013/13306/SRR13306447/SRR13306447.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 2"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E4"", ""sex"": ""Female"", ""treatment"": ""CTL""}"	Healthy Control	Batch 2	iPSC-derived microglia	E3/E4	Female	CTL
GSE163857	GSM4988834	SRR13306448	SRX9734450	Homo sapiens	single	EDi029-A_CTL1_human_E3/E3_Healthy_iMicroglia	human_E3/E3_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR013/13306/SRR13306448/SRR13306448.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E3"", ""sex"": ""Male"", ""treatment"": ""CTL""}"	Healthy Control	Batch 3	iPSC-derived microglia	E3/E3	Male	CTL
GSE163857	GSM4988835	SRR13306449	SRX9734451	Homo sapiens	single	EDi029-A_CTL2_human_E3/E3_Healthy_iMicroglia	human_E3/E3_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13306/SRR13306449/SRR13306449.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E3"", ""sex"": ""Male"", ""treatment"": ""CTL""}"	Healthy Control	Batch 3	iPSC-derived microglia	E3/E3	Male	CTL
GSE163857	GSM4988836	SRR13306450	SRX9734452	Homo sapiens	single	EDi029-A_Zn_human_E3/E3_Healthy_iMicroglia	human_E3/E3_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13306/SRR13306450/SRR13306450.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E3"", ""sex"": ""Male"", ""treatment"": ""Zn""}"	Healthy Control	Batch 3	iPSC-derived microglia	E3/E3	Male	Zn
GSE163857	GSM4988837	SRR13306451	SRX9734453	Homo sapiens	single	EDi035-A_Cd_human_E3/E3_Healthy_iMicroglia	human_E3/E3_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR013/13306/SRR13306451/SRR13306451.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E3"", ""sex"": ""Female"", ""treatment"": ""Cd""}"	Healthy Control	Batch 3	iPSC-derived microglia	E3/E3	Female	Cd
GSE163857	GSM4988838	SRR13306452	SRX9734454	Homo sapiens	single	EDi035-A_CTL1_human_E3/E3_Healthy_iMicroglia	human_E3/E3_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13306/SRR13306452/SRR13306452.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E3"", ""sex"": ""Female"", ""treatment"": ""CTL""}"	Healthy Control	Batch 3	iPSC-derived microglia	E3/E3	Female	CTL
